"Name","ID","InstallLocation","UninstallString"
"Microsoft 365 Apps for enterprise - en-us","O365ProPlusRetail - en-us","C:\Program Files\Microsoft Office","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=O365ProPlusRetail.16_en-us_x-none culture=en-us version.16=16.0"
"7-Zip 25.00 (x64 edition)","{23170F69-40C1-2702-2500-000001000000}","","MsiExec.exe /I{23170F69-40C1-2702-2500-000001000000}"
"Office 16 Click-to-Run Licensing Component","{90160000-007E-0000-1000-0000000FF1CE}","","MsiExec.exe /I{90160000-007E-0000-1000-0000000FF1CE}"
"Office 16 Click-to-Run Extensibility Component","{90160000-008C-0000-1000-0000000FF1CE}","","MsiExec.exe /X{90160000-008C-0000-1000-0000000FF1CE}"
"Adobe Acrobat (64-bit)","{AC76BA86-1033-FF00-7760-BC15014EA700}","C:\Program Files\Adobe\Acrobat DC\","MsiExec.exe /I{AC76BA86-1033-FF00-7760-BC15014EA700}"
"Microsoft Edge","Microsoft Edge","C:\Program Files (x86)\Microsoft\Edge\Application","""C:\Program Files (x86)\Microsoft\Edge\Application\138.0.3351.77\Installer\setup.exe"" --uninstall --msedge --channel=stable --system-level --verbose-logging"
"Microsoft Edge WebView2 Runtime","Microsoft EdgeWebView","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.77\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging"
"Microsoft OneDrive","OneDriveSetup.exe",,"C:\Program Files (x86)\Microsoft OneDrive\23.038.0219.0001\OneDriveSetup.exe  /uninstall  /allusers "
"Microsoft Intune Management Extension","{94103659-6B2A-4C2F-9A47-62E1A06B7DA9}","","MsiExec.exe /I{94103659-6B2A-4C2F-9A47-62E1A06B7DA9}"
"Adobe Refresh Manager","{AC76BA86-0804-1033-1959-018244601110}","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\","MsiExec.exe /I{AC76BA86-0804-1033-1959-018244601110}"
