"Name","AppUserModelID","InstallLocation","Publisher"
"Microsoft.UI.Xaml.CBS",,"C:\Windows\SystemApps\Microsoft.UI.Xaml.CBS_8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"1527c705-839a-4832-9118-54d4Bd6a0c89",,"C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"c5e2524a-ea46-4f67-841f-6a9465d9d515",,"C:\Windows\SystemApps\Microsoft.Windows.FileExplorer_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"E2A4F912-2574-4A75-9BB0-0D023378592B",,"C:\Windows\SystemApps\Microsoft.Windows.AppResolverUX_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE",,"C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.AAD.BrokerPlugin",,"C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.AccountsControl",,"C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.AsyncTextService",,"C:\Windows\SystemApps\Microsoft.AsyncTextService_8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.BioEnrollment",,"C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.CredDialogHost",,"C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.LockApp",,"C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.MicrosoftEdgeDevToolsClient",,"C:\Windows\SystemApps\Microsoft.MicrosoftEdgeDevToolsClient_8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Win32WebViewHost",,"C:\Windows\SystemApps\Microsoft.Win32WebViewHost_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.Apprep.ChxApp",,"C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.AssignedAccessLockApp",,"C:\Windows\SystemApps\Microsoft.Windows.AssignedAccessLockApp_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.AugLoop.CBS",,"C:\Windows\SystemApps\Microsoft.Windows.AugLoop.CBS_8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.CapturePicker",,"C:\Windows\SystemApps\Microsoft.Windows.CapturePicker_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
